,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,39.89803880004911,[ 0.25902778 -0.37847222],4,2,"[25, 0, 4, 16]",26,-1
1,0,42.25793840002734,[-0.41388889 -0.36319444],25,0,"[25, 0, 4, 16]",26,-1
2,0,44.258194000052754,[ 0.53819444 -0.40138889],16,1,"[25, 0, 4, 16]",26,-1
3,0,45.401743500027806,[-0.14097222 -0.35277778],0,0,"[25, 0, 4, 16]",26,-1
4,1,50.52992709999671,[ 0.11388889 -0.35625   ],22,2,"[19, 2, 22, 20]",15,-1
5,1,54.16187940002419,[-0.41875    -0.33472222],19,0,"[19, 2, 22, 20]",15,-1
6,1,56.05814060004195,[-0.225      -0.33611111],2,0,"[19, 2, 22, 20]",15,-1
7,1,56.7698438000516,[ 0.50277778 -0.36388889],20,0,"[19, 2, 22, 20]",15,-1
8,2,62.657838400045875,[-0.08888889 -0.33888889],29,1,"[18, 29, 19, 20]",10,-1
9,2,64.72995310003171,[ 0.42291667 -0.35694444],20,2,"[18, 29, 19, 20]",10,-1
10,2,67.75387350004166,[-0.44513889 -0.33055556],18,0,"[18, 29, 19, 20]",10,-1
11,2,68.78576360002626,[ 0.10208333 -0.34375   ],19,0,"[18, 29, 19, 20]",10,-1
12,3,76.02596900000935,[-0.45763889 -0.29722222],1,0,"[1, 3, 12, 23]",2,-1
13,3,79.80193330004113,[-0.17847222 -0.31736111],3,0,"[1, 3, 12, 23]",2,-1
14,3,82.32180410000728,[ 0.47291667 -0.34166667],23,1,"[1, 3, 12, 23]",2,-1
15,3,83.18576720001874,[ 0.24583333 -0.33819444],12,0,"[1, 3, 12, 23]",2,-1
16,4,93.31380230002105,[-0.16736111 -0.30902778],14,1,"[5, 14, 12, 28]",17,-1
17,4,95.61785850004526,[ 0.43263889 -0.33472222],28,2,"[5, 14, 12, 28]",17,-1
18,4,96.3298709000228,[ 0.23194444 -0.34097222],12,1,"[5, 14, 12, 28]",17,-1
19,4,97.2177200000151,[-0.41875    -0.29652778],5,0,"[5, 14, 12, 28]",17,-1
20,5,109.4019989000517,[ 0.42222222 -0.35555556],15,3,"[0, 26, 18, 15]",14,-1
21,5,113.59396850003395,[ 0.09722222 -0.33402778],18,2,"[0, 26, 18, 15]",14,-1
22,5,116.16990259999875,[-0.27361111 -0.30902778],26,1,"[0, 26, 18, 15]",14,-1
23,5,116.67374840000411,[-0.45833333 -0.29930556],0,0,"[0, 26, 18, 15]",14,-1
24,6,126.06592300004559,[ 0.07777778 -0.33680556],3,2,"[13, 27, 3, 28]",12,-1
25,6,130.50613710004836,[-0.21319444 -0.31388889],27,1,"[13, 27, 3, 28]",12,-1
26,6,132.6417779000476,[ 0.47916667 -0.35902778],28,1,"[13, 27, 3, 28]",12,-1
27,6,133.62572670000372,[-0.45763889 -0.30069444],13,0,"[13, 27, 3, 28]",12,-1
28,7,145.71384390001185,[-0.08402778 -0.35972222],13,1,"[10, 13, 20, 4]",22,-1
29,7,152.28981630003545,[-0.475      -0.32152778],10,0,"[10, 13, 20, 4]",22,-1
30,7,153.29777560004732,[ 0.15069444 -0.35      ],20,0,"[10, 13, 20, 4]",22,-1
31,7,154.21768030000385,[ 0.41527778 -0.35      ],4,0,"[10, 13, 20, 4]",22,-1
32,8,167.56186539999908,[-0.21180556 -0.31875   ],8,1,"[14, 8, 26, 11]",23,-1
33,8,171.18591510003898,[-0.42361111 -0.30625   ],14,0,"[14, 8, 26, 11]",23,-1
34,8,175.0340628999984,[ 0.29375 -0.38125],26,0,"[14, 8, 26, 11]",23,-1
35,8,175.5857013000059,[ 0.475      -0.38541667],11,0,"[14, 8, 26, 11]",23,-1
36,9,187.42598240001826,[-0.4375     -0.30208333],0,0,"[0, 18, 12, 8]",7,-1
37,9,188.91377959999954,[ 0.43541667 -0.37222222],8,2,"[0, 18, 12, 8]",7,-1
38,9,192.93783360003727,[-0.15069444 -0.32986111],18,0,"[0, 18, 12, 8]",7,-1
39,9,193.5776769000222,[ 0.1625     -0.34444444],12,0,"[0, 18, 12, 8]",7,-1
40,10,201.72180290002143,[-0.07916667 -0.35208333],12,1,"[5, 12, 23, 6]",27,-1
41,10,203.9218530000071,[ 0.17638889 -0.37361111],23,1,"[5, 12, 23, 6]",27,-1
42,10,205.12168530002236,[ 0.39930556 -0.37013889],6,1,"[5, 12, 23, 6]",27,-1
43,10,206.24980140000116,[-0.46736111 -0.325     ],5,0,"[5, 12, 23, 6]",27,-1
44,11,214.52186950005125,[ 0.46805556 -0.40763889],1,3,"[15, 20, 7, 1]",4,-1
45,11,221.20182430004934,[-0.27847222 -0.33611111],20,1,"[15, 20, 7, 1]",4,-1
46,11,223.5858586000395,[ 0.14305556 -0.37777778],7,1,"[15, 20, 7, 1]",4,-1
47,11,224.14567490003537,[-0.46458333 -0.32708333],15,0,"[15, 20, 7, 1]",4,-1
48,12,230.51377180003328,[ 0.11805556 -0.37222222],16,2,"[3, 20, 16, 8]",24,-1
49,12,232.48981830000412,[-0.47222222 -0.32708333],3,0,"[3, 20, 16, 8]",24,-1
50,12,239.03370359999826,[-0.10625    -0.33958333],20,0,"[3, 20, 16, 8]",24,-1
51,12,239.80969070002902,[ 0.48888889 -0.34444444],8,0,"[3, 20, 16, 8]",24,-1
52,13,248.58579400001327,[ 0.46180556 -0.37986111],4,3,"[17, 26, 20, 4]",6,-1
53,13,254.2897806999972,[-0.47986111 -0.3125    ],17,0,"[17, 26, 20, 4]",6,-1
54,13,254.87366310000652,[-0.26736111 -0.32361111],26,0,"[17, 26, 20, 4]",6,-1
55,13,255.409713800007,[ 0.07708333 -0.33819444],20,0,"[17, 26, 20, 4]",6,-1
56,14,260.0577609000029,[ 0.26388889 -0.36527778],20,2,"[19, 16, 20, 5]",21,-1
57,14,264.76176730002044,[-0.43680556 -0.31388889],19,0,"[19, 16, 20, 5]",21,-1
58,14,267.34586680005305,[-0.18680556 -0.32708333],16,0,"[19, 16, 20, 5]",21,-1
59,14,268.0656601000228,[ 0.50833333 -0.37430556],5,0,"[19, 16, 20, 5]",21,-1
60,15,272.7859267000458,[ 0.51666667 -0.36944444],7,3,"[19, 5, 18, 7]",0,-1
