,exp_trial_num,staircase_id,staircase_trial_num,distance,current_step_size,clicked_face_id,click_position,click_time_experiment,click_time_current_trial,faces_shown,was_correct,next_direction
0,0,22-23,0,500,400,22-23-726_0_image,[0.12222222 0.00972222],14.38728159997845,13.368628199998057,"22-23-226_1_image,22-23-726_0_image,22-23-226_0_image",True,down
1,0,10-17,0,500,400,10-17-518_0_image,[0.08402778 0.12291667],51.70216509999591,36.247291900013806,"10-17-18_0_image,10-17-518_0_image,10-17-18_1_image",True,down
2,0,5-17,0,500,400,5-17-646_0_image,[0.13402778 0.09861111],58.19708049998735,5.529125699977158,"5-17-146_0_image,5-17-646_0_image,5-17-146_1_image",True,down
3,0,1-28,0,500,400,1-28-290_0_image,[-0.33333333  0.02777778],63.356014699995285,4.250874899997143,"1-28-290_0_image,1-28-790_0_image,1-28-790_1_image",True,down
4,0,14-16,0,500,400,14-16-616_0_image,[0.05138889 0.07361111],69.21680439999909,4.985966100008227,"14-16-116_1_image,14-16-616_0_image,14-16-116_0_image",True,down
5,0,3-5,0,500,400,3-5-482_0_image,[-0.32777778  0.04097222],84.64465859998018,14.546907600015402,"3-5-482_0_image,3-5-982_0_image,3-5-982_1_image",True,down
6,0,2-10,0,500,400,2-10-964_0_image,[-0.28611111 -0.00138889],100.20946809998713,14.682020099979127,"2-10-964_0_image,2-10-464_0_image,2-10-464_1_image",True,down
7,0,14-27,0,500,400,14-27-17_0_image,[0.04791667 0.15486111],104.23254070000257,3.150469800020801,"14-27-517_0_image,14-27-17_0_image,14-27-17_1_image",False,up
8,0,15-24,0,500,400,15-24-195_0_image,[-0.36388889  0.10833333],109.19874219998019,4.116971900017234,"15-24-195_0_image,15-24-695_1_image,15-24-695_0_image",True,down
9,0,13-20,0,500,400,13-20-262_0_image,[0.34583333 0.09583333],113.06737819997943,2.99996960000135,"13-20-762_1_image,13-20-762_0_image,13-20-262_0_image",True,down
10,0,7-12,0,500,400,7-12-846_0_image,[0.14722222 0.12083333],117.78940509998938,3.8677836999995634,"7-12-346_0_image,7-12-846_0_image,7-12-346_1_image",True,down
11,0,4-12,0,500,400,4-12-547_0_image,[0.11944444 0.10902778],123.13634440000169,4.471983099996578,"4-12-47_1_image,4-12-547_0_image,4-12-47_0_image",True,down
12,0,13-30,0,500,400,13-30-723_0_image,[-0.31041667  0.13194444],126.87329659998068,2.8689494999998715,"13-30-723_0_image,13-30-223_0_image,13-30-223_1_image",True,down
13,1,14-27,1,900,400,14-27-94_0_image,[0.11527778 0.15069444],132.98008649999974,5.246821200009435,"14-27-994_1_image,14-27-94_0_image,14-27-994_0_image",True,down
14,1,10-17,1,100,400,10-17-283_0_image,[0.07847222 0.11111111],140.73415360000217,6.890132700005779,"10-17-283_1_image,10-17-283_0_image,10-17-183_0_image",False,up
15,1,13-20,1,100,400,13-20-539_1_image,[0.09861111 0.12847222],148.1899768000003,6.610285100003239,"13-20-639_0_image,13-20-539_1_image,13-20-539_0_image",False,up
16,1,3-5,1,100,400,3-5-759_0_image,[0.10486111 0.13472222],153.18203869997524,4.116709499998251,"3-5-859_0_image,3-5-759_0_image,3-5-859_1_image",True,down
17,1,13-30,1,100,400,13-30-765_0_image,[0.14027778 0.14236111],161.7226335000014,7.671419699996477,"13-30-665_1_image,13-30-765_0_image,13-30-665_0_image",True,down
18,1,4-12,1,100,400,4-12-171_0_image,[-0.31875    -0.01111111],174.18704789999174,11.601666400005342,"4-12-171_0_image,4-12-171_1_image,4-12-71_0_image",False,up
19,1,22-23,1,100,400,22-23-330_0_image,[0.11527778 0.09097222],183.57758519999334,8.513789399992675,"22-23-430_0_image,22-23-330_0_image,22-23-430_1_image",True,down
20,1,7-12,1,100,400,7-12-387_0_image,[-0.4     0.0625],196.69645239997772,12.258410300011747,"7-12-387_0_image,7-12-287_0_image,7-12-287_1_image",True,down
21,1,15-24,1,100,400,15-24-665_1_image,[0.01666667 0.06805556],204.0424191999773,6.4938032000209205,"15-24-665_0_image,15-24-665_1_image,15-24-765_0_image",False,up
22,1,2-10,1,100,400,2-10-617_0_image,[0.48541667 0.11736111],211.05725109999184,6.148179799987702,"2-10-717_0_image,2-10-617_1_image,2-10-617_0_image",False,up
23,1,5-17,1,100,400,5-17-520_0_image,[0.41111111 0.07083333],217.1092499999795,5.2003085000033025,"5-17-620_0_image,5-17-620_1_image,5-17-520_0_image",True,down
24,1,1-28,1,100,400,1-28-142_1_image,[-0.30138889  0.10625   ],224.9484593999805,5.387176399992313,"1-28-142_1_image,1-28-142_0_image,1-28-42_0_image",False,up
25,1,14-16,1,100,400,14-16-824_0_image,[0.34305556 0.05625   ],236.4901939999836,10.609862100012833,"14-16-924_0_image,14-16-924_1_image,14-16-824_0_image",True,down
26,2,14-27,2,580,320,14-27-759_0_image,[-0.30555556  0.00486111],241.4589796999935,4.107106200011913,"14-27-759_0_image,14-27-179_1_image,14-27-179_0_image",True,down
27,2,13-30,2,1,400,13-30-616_1_image,[ 0.34444444 -0.03819444],245.31893829998444,2.9280014999967534,"13-30-616_0_image,13-30-615_0_image,13-30-616_1_image",False,up
28,2,1-28,2,420,320,1-28-5_0_image,[ 0.35972222 -0.04652778],248.63424079999095,2.4633840000024065,"1-28-425_0_image,1-28-425_1_image,1-28-5_0_image",True,up
29,2,3-5,2,1,400,3-5-396_0_image,[ 0.0125 -0.075 ],257.3437522999884,7.832854699983727,"3-5-395_0_image,3-5-396_0_image,3-5-395_1_image",True,down
30,2,7-12,2,1,400,7-12-600_1_image,[ 0.12152778 -0.15694444],265.2066736999841,7.015692899993155,"7-12-601_0_image,7-12-600_1_image,7-12-600_0_image",False,up
31,2,14-16,2,1,400,14-16-779_1_image,[-0.29583333 -0.09583333],280.98000079998747,14.921473399997922,"14-16-779_1_image,14-16-779_0_image,14-16-780_0_image",False,up
32,2,10-17,2,420,320,10-17-988_0_image,[ 0.29583333 -0.11319444],284.6864352999837,2.8371762999740895,"10-17-568_1_image,10-17-568_0_image,10-17-988_0_image",True,up
33,2,4-12,2,420,320,4-12-13_0_image,[ 0.31111111 -0.13263889],290.2074725999846,4.6708421999937855,"4-12-433_1_image,4-12-433_0_image,4-12-13_0_image",True,up
34,2,2-10,2,420,320,2-10-786_0_image,[ 0.10208333 -0.15      ],293.26180839998415,2.204722299997229,"2-10-366_1_image,2-10-786_0_image,2-10-366_0_image",True,up
35,2,22-23,2,1,400,22-23-138_1_image,[ 0.08055556 -0.11597222],302.551240300003,8.411008099996252,"22-23-137_0_image,22-23-138_1_image,22-23-138_0_image",False,up
36,2,5-17,2,1,400,5-17-58_1_image,[ 0.42777778 -0.04166667],312.2631223999779,8.840057200024603,"5-17-58_0_image,5-17-57_0_image,5-17-58_1_image",False,up
37,2,13-20,2,420,320,13-20-335_0_image,[-0.37847222  0.00277778],316.09730759999366,2.972031799989054,"13-20-335_0_image,13-20-755_0_image,13-20-755_1_image",True,up
38,2,15-24,2,420,320,15-24-420_0_image,[-0.44166667 -0.04097222],325.0250938999816,8.087580999999773,"15-24-420_0_image,15-24-840_0_image,15-24-840_1_image",True,up
39,3,14-27,3,580,320,14-27-780_0_image,[ 0.01180556 -0.04583333],329.39401499999803,3.5058580999902915,"14-27-200_1_image,14-27-780_0_image,14-27-200_0_image",True,down
40,3,7-12,3,321,320,7-12-893_0_image,[ 0.44513889 -0.05486111],332.8180371999915,2.575783499982208,"7-12-893_1_image,7-12-572_0_image,7-12-893_0_image",False,up
41,3,14-16,3,321,320,14-16-562_0_image,[ 0.37847222 -0.06041667],336.6529628999997,2.9594598000112455,"14-16-883_0_image,14-16-883_1_image,14-16-562_0_image",True,up
42,3,4-12,3,420,320,4-12-419_0_image,[-0.47430556 -0.06527778],343.3169182999991,5.804230200010352,"4-12-419_0_image,4-12-839_0_image,4-12-839_1_image",True,down
43,3,2-10,3,420,320,2-10-454_0_image,[-0.03125 -0.075  ],347.6129608999763,3.4339681999990717,"2-10-34_0_image,2-10-454_0_image,2-10-34_1_image",True,down
44,3,13-30,3,321,320,13-30-216_0_image,[ 0.04375    -0.05555556],352.51826959999744,4.033903000003193,"13-30-537_0_image,13-30-216_0_image,13-30-537_1_image",True,up
45,3,5-17,3,321,320,5-17-891_0_image,[ 0.37222222 -0.1       ],363.82868089998374,10.462953999987803,"5-17-570_1_image,5-17-570_0_image,5-17-891_0_image",True,up
46,3,15-24,3,420,320,15-24-4_0_image,[-0.41041667 -0.03819444],375.54254509997554,10.850855600001523,"15-24-4_0_image,15-24-424_0_image,15-24-4_1_image",False,up
47,3,22-23,3,321,320,22-23-588_0_image,[ 0.42777778 -0.06944444],384.46048539999174,8.04726419999497,"22-23-267_1_image,22-23-267_0_image,22-23-588_0_image",True,up
48,3,3-5,3,1,400,3-5-157_1_image,[ 0.45208333 -0.06875   ],394.54823679997935,9.218818599998485,"3-5-157_0_image,3-5-158_0_image,3-5-157_1_image",False,up
49,3,1-28,3,420,320,1-28-552_0_image,[-0.46111111 -0.04236111],397.30526349999127,1.906943699985277,"1-28-552_0_image,1-28-132_0_image,1-28-132_1_image",True,down
50,3,13-20,3,420,320,13-20-638_0_image,[ 0.03402778 -0.06458333],401.1653716999863,3.0103544000012334,"13-20-218_0_image,13-20-638_0_image,13-20-218_1_image",True,down
51,3,10-17,3,420,320,10-17-439_0_image,[-0.43611111 -0.02847222],410.12005869997665,8.090250100009143,"10-17-439_0_image,10-17-859_1_image,10-17-859_0_image",True,down
52,4,22-23,4,321,320,22-23-736_0_image,[-0.44166667 -0.06597222],413.06816519997665,2.0599819000053685,"22-23-736_0_image,22-23-415_0_image,22-23-415_1_image",True,down
53,4,10-17,4,180,240,10-17-56_0_image,[ 0.44027778 -0.06944444],421.7862503999786,7.861307500017574,"10-17-236_0_image,10-17-56_1_image,10-17-56_0_image",False,up
54,4,7-12,4,641,320,7-12-774_0_image,[ 0.44027778 -0.06944444],426.533303299977,3.8730220000143163,"7-12-133_1_image,7-12-133_0_image,7-12-774_0_image",True,up
55,4,2-10,4,180,240,2-10-535_0_image,[-0.00208333 -0.09027778],432.2972514999856,4.90763549998519,"2-10-355_0_image,2-10-535_0_image,2-10-355_1_image",True,down
56,4,15-24,4,740,320,15-24-757_0_image,[-0.00138889 -0.09027778],436.1449951999821,2.98528890000307,"15-24-17_1_image,15-24-757_0_image,15-24-17_0_image",True,up
57,4,5-17,4,321,320,5-17-609_0_image,[ 0.39861111 -0.05347222],445.6747289999912,8.668031799985329,"5-17-288_0_image,5-17-288_1_image,5-17-609_0_image",True,down
58,4,13-20,4,180,240,13-20-77_0_image,[ 0.40972222 -0.05555556],449.67771920000087,3.150743100006366,"13-20-257_1_image,13-20-257_0_image,13-20-77_0_image",True,down
59,4,14-27,4,260,320,14-27-494_0_image,[ 0.45138889 -0.07083333],455.98766719998093,5.467855400027474,"14-27-234_0_image,14-27-234_1_image,14-27-494_0_image",True,down
60,4,1-28,4,180,240,1-28-99_0_image,[ 0.09930556 -0.04861111],461.41753649999737,4.57146289999946,"1-28-279_1_image,1-28-99_0_image,1-28-279_0_image",True,down
61,4,13-30,4,321,320,13-30-507_0_image,[ 0.02430556 -0.06805556],466.2175166999805,3.941092299995944,"13-30-828_1_image,13-30-507_0_image,13-30-828_0_image",True,down
