,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,78.59273669999675,[ 0.55       -0.23402777],7,3,"[14, 19, 13, 7]",0,-1
1,0,83.52778679999756,[-0.4798611  -0.28819445],14,0,"[14, 19, 13, 7]",0,-1
2,0,84.3036473000102,[ 0.09444445 -0.30208334],13,1,"[14, 19, 13, 7]",0,-1
3,0,84.82855420000851,[-0.08958333 -0.28958333],19,0,"[14, 19, 13, 7]",0,-1
4,1,87.22095600000466,[-0.51666665 -0.27708334],0,0,"[0, 18, 22, 19]",1,-1
5,1,89.04758949999814,[ 0.13541667 -0.24652778],22,1,"[0, 18, 22, 19]",1,-1
6,1,90.06264040000679,[-0.10416666 -0.25625   ],18,0,"[0, 18, 22, 19]",1,-1
7,1,90.83549290000519,[ 0.45902777 -0.25625   ],19,0,"[0, 18, 22, 19]",1,-1
8,2,94.33661340000981,[-0.15833333 -0.23472223],28,1,"[23, 28, 0, 10]",2,-1
9,2,96.5886354999966,[ 0.58819443 -0.28194445],10,2,"[23, 28, 0, 10]",2,-1
10,2,99.20554450000054,[-0.3951389  -0.26041666],23,0,"[23, 28, 0, 10]",2,-1
11,2,99.65540380000311,[ 0.16458334 -0.28819445],0,0,"[23, 28, 0, 10]",2,-1
12,3,102.163532999999,[ 0.21875    -0.25069445],17,2,"[20, 4, 17, 0]",3,-1
13,3,103.42341699999815,[ 0.5229167  -0.26458332],0,2,"[20, 4, 17, 0]",3,-1
14,3,105.7023046000104,[-0.25       -0.24444444],4,1,"[20, 4, 17, 0]",3,-1
15,3,106.05228620000707,[-0.47361112 -0.23333333],20,0,"[20, 4, 17, 0]",3,-1
16,4,109.30148609999742,[ 0.5416667  -0.25555557],27,3,"[7, 26, 14, 27]",4,-1
17,4,110.16830970000592,[-0.06736111 -0.2611111 ],26,1,"[7, 26, 14, 27]",4,-1
18,4,111.78131160000339,[ 0.13541667 -0.25902778],14,1,"[7, 26, 14, 27]",4,-1
19,4,112.30522930000734,[-0.59097224 -0.26180556],7,0,"[7, 26, 14, 27]",4,-1
20,5,119.17314590000024,[-0.49097222 -0.25277779],19,0,"[19, 7, 22, 0]",5,-1
21,5,119.77421460000915,[ 0.12013889 -0.25416666],22,1,"[19, 7, 22, 0]",5,-1
22,5,121.21116810000967,[-0.15069444 -0.24861111],7,0,"[19, 7, 22, 0]",5,-1
23,5,121.67119629999797,[ 0.40902779 -0.25555557],0,0,"[19, 7, 22, 0]",5,-1
24,6,126.42132000000856,[ 0.5548611 -0.2534722],22,3,"[18, 25, 24, 22]",6,-1
25,6,127.62222289999772,[-0.5347222 -0.2576389],18,0,"[18, 25, 24, 22]",6,-1
26,6,128.5450961000024,[ 0.125     -0.2951389],24,1,"[18, 25, 24, 22]",6,-1
27,6,128.84699839999666,[-0.09513889 -0.2611111 ],25,0,"[18, 25, 24, 22]",6,-1
28,7,134.30002789999708,[ 0.53125    -0.24027778],16,3,"[3, 27, 6, 16]",7,-1
29,7,137.03915450000204,[ 0.19791667 -0.225     ],6,2,"[3, 27, 6, 16]",7,-1
30,7,138.489948500006,[-0.20694445 -0.2       ],27,1,"[3, 27, 6, 16]",7,-1
31,7,138.87188420000894,[-0.5152778 -0.2125   ],3,0,"[3, 27, 6, 16]",7,-1
32,8,142.38283790000423,[-0.19791667 -0.19861111],2,1,"[0, 2, 28, 13]",8,-1
33,8,145.3748578000086,[ 0.5069444  -0.27083334],13,2,"[0, 2, 28, 13]",8,-1
34,8,146.6428847000061,[ 0.15138888 -0.24236111],28,1,"[0, 2, 28, 13]",8,-1
35,8,147.42277879999892,[-0.48958334 -0.20763889],0,0,"[0, 2, 28, 13]",8,-1
36,9,153.72984850000648,[ 0.4888889 -0.2875   ],23,3,"[0, 6, 13, 23]",9,-1
37,9,159.7376246000058,[-0.56041664 -0.22222222],0,0,"[0, 6, 13, 23]",9,-1
38,9,160.3246713999979,[-0.19236112 -0.25902778],6,0,"[0, 6, 13, 23]",9,-1
39,9,160.82958510000026,[ 0.08611111 -0.29027778],13,0,"[0, 6, 13, 23]",9,-1
40,10,166.42076900000393,[-0.20416667 -0.25416666],29,1,"[20, 29, 6, 1]",10,-1
41,10,169.8127552000078,[ 0.18125 -0.275  ],6,1,"[20, 29, 6, 1]",10,-1
42,10,170.36557650000032,[-0.41041666 -0.25833333],20,0,"[20, 29, 6, 1]",10,-1
43,10,170.9715456999984,[ 0.40833333 -0.29375   ],1,0,"[20, 29, 6, 1]",10,-1
44,11,177.91740580000624,[-0.43888888 -0.275     ],6,0,"[6, 20, 27, 18]",11,-1
45,11,183.00744739999936,[ 0.25486112 -0.24027778],27,1,"[6, 20, 27, 18]",11,-1
