,exp_trial_num,staircase_id,staircase_trial_num,distance,current_step_size,clicked_face_id,click_position,click_time_experiment,click_time_current_trial,faces_shown,was_correct,next_direction
0,0,1-28,0,500,400,1-28-52_0_image,[-0.37013889  0.06458333],10.908909899999998,10.01493099999999,"1-28-52_0_image,1-28-552_0_image,1-28-552_1_image",True,down
1,0,14-27,0,500,400,14-27-595_0_image,[0.31458333 0.00833333],19.744243799999992,7.927565099999981,"14-27-95_0_image,14-27-95_1_image,14-27-595_0_image",True,down
2,0,4-12,0,500,400,4-12-717_0_image,[ 0.42083333 -0.07013889],25.202963100000005,4.240552399999984,"4-12-217_0_image,4-12-217_1_image,4-12-717_0_image",True,down
3,0,5-17,0,500,400,5-17-399_0_image,[ 0.05486111 -0.05833333],28.109759999999994,1.8977354999999818,"5-17-899_1_image,5-17-399_0_image,5-17-899_0_image",True,down
4,0,14-16,0,500,400,14-16-617_0_image,[-0.28263889 -0.00138889],31.36166370000001,2.3504802999999868,"14-16-617_0_image,14-16-117_1_image,14-16-117_0_image",True,down
5,0,3-5,0,500,400,3-5-75_0_image,[ 0.13125    -0.03263889],37.0274943,4.760652499999992,"3-5-575_1_image,3-5-75_0_image,3-5-575_0_image",True,down
6,0,10-17,0,500,400,10-17-763_0_image,[-0.32847222  0.00694444],40.48059280000001,2.547458199999994,"10-17-763_0_image,10-17-263_1_image,10-17-263_0_image",True,down
7,0,2-10,0,500,400,2-10-566_0_image,[-0.13194444 -0.01180556],48.56540749999999,7.1810722999999825,"2-10-66_0_image,2-10-566_0_image,2-10-66_1_image",True,down
8,0,15-24,0,500,400,15-24-133_0_image,[ 0.33958333 -0.075     ],51.64549120000001,2.199151700000016,"15-24-133_1_image,15-24-633_0_image,15-24-133_0_image",False,up
9,0,13-30,0,500,400,13-30-61_0_image,[-0.06458333 -0.06805556],55.235242700000015,2.691866200000021,"13-30-561_1_image,13-30-61_0_image,13-30-561_0_image",True,down
10,0,7-12,0,500,400,7-12-684_0_image,[ 0.08125    -0.08472222],60.810379900000015,4.669980199999998,"7-12-184_0_image,7-12-684_0_image,7-12-184_1_image",True,down
11,0,13-20,0,500,400,13-20-65_0_image,[-0.29583333 -0.05833333],65.4301744,3.720663299999984,"13-20-65_0_image,13-20-565_0_image,13-20-565_1_image",True,down
12,0,22-23,0,500,400,22-23-529_0_image,[ 0.36875    -0.10069444],68.09446590000002,1.753065300000003,"22-23-29_0_image,22-23-29_1_image,22-23-529_0_image",True,down
13,1,13-30,1,100,400,13-30-30_0_image,[ 0.32638889 -0.1375    ],77.17924740000001,8.171587000000017,"13-30-130_1_image,13-30-130_0_image,13-30-30_0_image",True,down
