,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,50.46159270000135,[ 0.20625    -0.23402777],28,2,"[11, 25, 28, 6]",0,-1
1,0,55.7404871000017,[ 0.42847222 -0.2534722 ],6,2,"[11, 25, 28, 6]",0,-1
2,0,58.35448590000124,[-0.20972222 -0.30833334],25,1,"[11, 25, 28, 6]",0,-1
3,0,58.93960790000165,[-0.40069443 -0.30694443],11,0,"[11, 25, 28, 6]",0,-1
4,1,61.576532100001714,[-0.14722222 -0.29791668],26,1,"[27, 26, 18, 2]",1,-1
5,1,63.20650019999994,[ 0.46805555 -0.28263888],2,2,"[27, 26, 18, 2]",1,-1
6,1,65.33243420000144,[ 0.07152778 -0.30833334],18,1,"[27, 26, 18, 2]",1,-1
7,1,66.0072209000009,[-0.47083333 -0.30277777],27,0,"[27, 26, 18, 2]",1,-1
8,2,68.74972290000005,[ 0.16388889 -0.30555555],18,2,"[10, 8, 18, 5]",2,-1
9,2,71.42934100000093,[-0.47777778 -0.32222223],10,0,"[10, 8, 18, 5]",2,-1
10,2,72.02552080000169,[-0.2875  -0.30625],8,0,"[10, 8, 18, 5]",2,-1
11,2,72.82243910000034,[ 0.38055557 -0.29097223],5,0,"[10, 8, 18, 5]",2,-1
12,3,75.12864680000166,[ 0.2125     -0.31388888],8,2,"[18, 23, 8, 20]",3,-1
13,3,78.9942256000013,[-0.47430557 -0.29791668],18,0,"[18, 23, 8, 20]",3,-1
14,3,79.42307490000167,[-0.27916667 -0.29166666],23,0,"[18, 23, 8, 20]",3,-1
15,3,80.3321618000009,[ 0.46597221 -0.24305555],20,0,"[18, 23, 8, 20]",3,-1
16,4,84.84513740000148,[-0.45069444 -0.28958333],19,0,"[19, 21, 7, 24]",4,-1
17,4,85.85209420000137,[ 0.46944445 -0.2534722 ],24,2,"[19, 21, 7, 24]",4,-1
18,4,88.7210797000007,[-0.06944445 -0.28402779],21,0,"[19, 21, 7, 24]",4,-1
19,4,89.0559974000007,[ 0.09791667 -0.27986112],7,0,"[19, 21, 7, 24]",4,-1
20,5,92.34824110000045,[ 0.09236111 -0.275     ],4,2,"[7, 25, 4, 13]",5,-1
21,5,93.8960345000014,[-0.12361111 -0.27986112],25,1,"[7, 25, 4, 13]",5,-1
22,5,97.45392450000145,[-0.4138889  -0.29583332],7,0,"[7, 25, 4, 13]",5,-1
23,5,98.29489439999998,[ 0.40486112 -0.27083334],13,0,"[7, 25, 4, 13]",5,-1
24,6,112.01807010000084,[ 0.40763888 -0.25625   ],8,3,"[20, 25, 10, 8]",6,-1
25,6,117.98088170000119,[ 0.05138889 -0.275     ],10,2,"[20, 25, 10, 8]",6,-1
26,6,119.88774770000055,[-0.04583333 -0.2736111 ],25,1,"[20, 25, 10, 8]",6,-1
27,6,120.62974640000175,[-0.38333333 -0.27708334],20,0,"[20, 25, 10, 8]",6,-1
28,7,123.1799200000005,[-0.20416667 -0.25416666],0,1,"[23, 0, 24, 12]",7,-1
29,7,126.11881900000117,[-0.4798611  -0.30069444],23,0,"[23, 0, 24, 12]",7,-1
30,7,129.52041680000002,[ 0.2736111  -0.26319444],24,0,"[23, 0, 24, 12]",7,-1
31,7,129.95552040000075,[ 0.46944445 -0.2534722 ],12,0,"[23, 0, 24, 12]",7,-1
32,8,134.57682310000018,[ 0.43333334 -0.24652778],9,3,"[29, 16, 24, 9]",8,-1
33,8,135.2904279000013,[-0.07777778 -0.26805556],16,1,"[29, 16, 24, 9]",8,-1
34,8,135.87872920000154,[-0.43125    -0.31319445],29,0,"[29, 16, 24, 9]",8,-1
35,8,136.63747260000127,[ 0.1375     -0.24236111],24,0,"[29, 16, 24, 9]",8,-1
36,9,139.31768620000003,[ 0.38958332 -0.24166666],1,3,"[2, 20, 7, 1]",9,-1
37,9,139.77247660000103,[ 0.2534722  -0.24513888],7,2,"[2, 20, 7, 1]",9,-1
38,9,140.87783040000068,[-0.4451389  -0.29652777],2,0,"[2, 20, 7, 1]",9,-1
39,9,141.34846590000052,[-0.22430556 -0.2625    ],20,0,"[2, 20, 7, 1]",9,-1
40,10,151.52860660000078,[-0.47083333 -0.2777778 ],21,0,"[21, 27, 2, 7]",10,-1
41,10,152.49739500000032,[ 0.10833333 -0.22430556],2,1,"[21, 27, 2, 7]",10,-1
42,10,153.12465840000004,[ 0.41597223 -0.21736111],7,1,"[21, 27, 2, 7]",10,-1
43,10,153.7385301000013,[-0.17222223 -0.21875   ],27,0,"[21, 27, 2, 7]",10,-1
44,11,160.58948840000085,[-0.4652778  -0.24027778],17,0,"[17, 26, 22, 19]",11,-1
45,11,162.37747920000038,[ 0.23819445 -0.21458334],22,1,"[17, 26, 22, 19]",11,-1
